tconst	primaryTitle	genres	isAdult	averageRating	directors	writers
tt0031742	Of Mice and Men	Adventure,Drama	0	7.8	nm0587277	nm0825705,nm0813554
tt0031762	Only Angels Have Wings	Adventure,Drama,Romance	0	7.6	nm0001328	nm0299154,nm0001328,nm0341178,nm0710299
tt0031867	The Roaring Twenties	Crime,Drama,Thriller	0	7.9	nm0909825	nm0907003,nm0531335,nm0744035,nm0375446,nm0049898,nm0231893,nm0923333
tt0031885	The Rules of the Game	Comedy,Drama	0	7.9	nm0719756	nm0719756,nm0002569,nm0064559
tt0031971	Stagecoach	Adventure,Drama,Western	0	7.8	nm0000406	nm0370697,nm0629580,nm0372942
tt0032138	The Wizard of Oz	Adventure,Family,Fantasy	0	8.1	nm0281808,nm0896542	nm0486538,nm0753249,nm0941138,nm0000875,nm0002030,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015,nm0861703,nm0896542
tt0032143	The Women	Comedy,Drama	0	7.7	nm0002030	nm0524403,nm0002616,nm0613848,nm0280234,nm0829330
tt0032145	Wuthering Heights	Drama,Romance	0	7.5	nm0943758	nm0531269,nm0372942,nm0111577,nm0001379
tt0032194	All This, and Heaven Too	Drama,Romance	0	7.4	nm0514822	nm0276019,nm0732452
tt0032234	The Bank Dick	Comedy	0	7.1	nm0166836	nm0001211,nm0140958
tt0032339	A Chump at Oxford	Comedy,Family	0	7.2	nm0332531	nm0736778,nm0012148,nm0003377,nm0491048
tt0032410	Down Argentine Way	Comedy,Drama,Musical	0	6.4	nm0191899	nm0912090,nm0876562,nm0416861,nm0817809
tt0032455	Fantasia	Animation,Family,Fantasy	0	7.7	nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313	nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872
tt0032475	Flash Gordon Conquers the Universe	Action,Adventure,Family	0	6.6	nm0066247,nm0853028	nm0713204,nm0225458,nm0687741,nm0794088
tt0032484	Foreign Correspondent	Action,Drama,Romance	0	7.4	nm0000033	nm0071657,nm0365661,nm0385264,nm0070361,nm0372942,nm0537363
tt0032536	Go West	Comedy,Musical,Western	0	6.8	nm0125636	nm0106505,nm0000036
tt0032551	The Grapes of Wrath	Drama	0	8.1	nm0000406	nm0425913,nm0825705
tt0032553	The Great Dictator	Comedy,Drama,War	0	8.4	nm0000122	nm0000122
tt0032599	His Girl Friday	Comedy,Drama,Romance	0	7.8	nm0001328	nm0496468,nm0372942,nm0531269,nm0753452
tt0032617	I Love You Again	Comedy,Romance	0	7.4	nm0886754	nm0330390,nm0914362,nm0169665,nm0496468,nm0649183,nm0475823
tt0032635	The Invisible Man Returns	Drama,Horror,Mystery	0	6.5	nm0562004	nm0920229,nm0562004,nm0802561,nm0170660,nm0067794
tt0032701	The Letter	Crime,Drama,Film-Noir	0	7.5	nm0943758	nm0560857,nm0462321,nm16463753
tt0032762	The Mark of Zorro	Action,Adventure,Family	0	7.5	nm0541149	nm0285218,nm0287124,nm0580648,nm0191547,nm0599652
tt0032851	Northwest Passage	Adventure,Drama,History	0	7.0	nm0896542,nm0176699,nm0886754	nm0821716,nm0421255,nm0731314,nm0290863,nm0299154,nm0384227,nm0397608,nm0486538,nm0547966,nm0613848,nm0725218,nm0770337,nm0792845,nm0801955,nm0896542
tt0032881	Our Town	Drama,Family,Romance	0	6.5	nm0939992	nm0928642,nm0186600,nm0151310
tt0032904	The Philadelphia Story	Comedy,Romance	0	7.8	nm0002030	nm0829330,nm0058129,nm0759029
tt0032910	Pinocchio	Adventure,Animation,Comedy	0	7.5	nm0272568,nm0373429,nm0414144,nm0455741,nm0527217,nm0730860,nm0789313	nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895
tt0032943	Pride and Prejudice	Comedy,Drama,Romance	0	7.4	nm0502752	nm0404717,nm0613848,nm0000807,nm0422017,nm0373511,nm0556945,nm0805756,nm0886668
tt0032976	Rebecca	Drama,Mystery,Romance	0	8.1	nm0000033	nm0238898,nm0792845,nm0365661,nm0531878,nm0389580
tt0033045	The Shop Around the Corner	Comedy,Drama,Romance	0	8.0	nm0523932	nm0710723,nm0529450,nm0372942
tt0033149	They Drive by Night	Crime,Drama,Film-Noir	0	7.2	nm0909825	nm0907003,nm0531335,nm0080135
tt0033152	The Thief of Bagdad	Adventure,Family,Fantasy	0	7.4	nm0003490,nm0003836,nm0924065,nm0466099,nm0466113,nm0580017	nm0539942,nm0083742,nm0000067
tt0033467	Citizen Kane	Drama,Mystery	0	8.3	nm0000080	nm0542534,nm0000080,nm0002144,nm0219670,nm0448809
tt0033553	Dr. Jekyll and Mr. Hyde	Drama,Horror,Sci-Fi	0	6.8	nm0281808	nm0536941,nm0829044,nm0372698,nm0388755,nm0651585
tt0033563	Dumbo	Adventure,Animation,Drama	0	7.2	nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313	nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785
tt0033712	Here Comes Mr. Jordan	Comedy,Fantasy,Romance	0	7.5	nm0355284	nm0118227,nm0589316,nm0781895
